,code,2016/01,2016/02,2016/03,2016/04,2016/05,2016/06,2016/07,2016/08,2016/09,2016/10,2016/11,2016/12,2017/01,2017/02,2017/03,2017/04,2017/05,2017/06,2017/07,2017/08,2017/09,2017/10,2017/11,2017/12,2018/01,2018/02,2018/03,2018/04,2018/05,2018/06,2018/07,2018/08,2018/09,2018/10,2018/11,2018/12,2019/01,2019/02,2019/03,2019/04,2019/05,2019/06,2019/07,2019/08,2019/09,2019/10,2019/11,2019/12,2020/01,2020/02,2020/03,2020/04,2020/05,2020/06,2020/07,2020/08,2020/09,2020/10,2020/11,2020/12,2021/01,2021/02,2021/03,2021/04,2021/05,2021/06,2021/07,2021/08,2021/09,2021/10,2021/11,2021/12
49,T1724,,,628.19,,,,,,,,,,,,406.47,,,,,,,,,,,,382.85,,,,,,,,,348.52,,,,,,,,,,,,220.35,,,,,,,,,,,,194,,,,,,,,,,,,106.7
50,T1726,,,95.68,,,,,,,,,,,,89.26,,,,,,,,,,,,91.57,,,,,,,,,,,,147.53,,,,,,,,,,,,243.58,,,,,,,,,,,,140.36,,,,,,,,,
51,T1736,,,85.55,,,,,,,,,,,,71.6,,,,,,,,,,,,71.87,,,,,,,,,,,,72.68,,,,,,,,,,,,65.11,,,,,,,,,,,,53.08,,,,,,,,,
52,T1738,,,80.98,,,,,,,,,,,,72.14,,,,,,,,,,,,83.25,,,,,,,,,,,,96.37,,,,,,,,,,,,86.94,,,,,,,,,,,,88.82,,,,,,,,,
53,T1743,,,,,,,,,61.23,,,,,,,,,,,,74.77,,,,,,,,,,,,74.25,,,,,,,,,,,,76.17,,,,,,,,,,,,68.72,,,,,,,,,,,,59,,,
54,T1758,44.53,,,,,,,,,,,,42.08,,,,,,,,,,,,43.46,,,,,,,,,,,,33.01,,,,,,,,,,,,45.76,,,,,,,,,,,,38.02,,,,,,,,,,,
55,T1762,,,3.49,,,,,,,,,,,,3.68,,,,,,,,,,,,4.17,,,,,,,,,,,,2.84,,,,,,,,,,,,64.02,,,,,,,,,,,,105.07,,,,,,,,,
56,T1764,,,,,,268.95,,,,,,,,,,,,225.74,,,,,,,,,,,,210.04,,,,,,,,,,,,230.99,,,,,,,,,,,,235,,,,,,,,,,,,208.58,,,,,,
57,T1766,,,,173.45,,,,,,,,,,,,157.84,,,,,,,,,,,,141.12,,,,,,,,,,,,130.67,,,,,,,,,,,,111.1,,,,,,,,,,,,102.13,,,,,,,,
58,T1768,,,117,,,,,,,,,,,,97.4,,,,,,,,,,,,88.64,,,,,,,,,,,,75.57,,,,,,,,,,,,68.14,,,,,,,,,,,,48.57,,,,,,,,,
59,T1770,,,106.24,,,,,,,,,,,,102.24,,,,,,,,,,,,96.61,,,,,,,,,,,,88.78,,,,,,,,,,,,90.16,,,,,,,,,,,,78.22,,,,,,,,,
60,T1771,,,,,,,,,51.51,,,,,,,,,,,,65.59,,,,,,,,,,,,55.3,,,,,,,,,,,,58.23,,,,,,,,,,,,67.1,,,,,,,,,,,,60.39,,,
61,T1776,,,211.48,,,,,,,,,,,,177.69,,,,,,,,,,,,158.48,,,,,,,,,,,,144.03,,,,,,,,,,,,131.16,,,,,,,,,,,,119.86,,,,,,,,,
