,,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算,単独決算
太洋基礎工業,T1758,33.01,,,,,,,,,,,,45.76,,,,,,,,,,,,38.02,,,,,,,,,,,,34.15,,,,,,,,,,,
高松コンストラクショングループ,T1762,,,2.84,,,,,,,,,,,,64.02,,,,,,,,,,,,105.07,,,,,,,,,,,,104.91,,,,,,,,,
工藤建設,T1764,,,,,,230.99,,,,,,,,,,,,235,,,,,,,,,,,,208.58,,,,,,,,,,,,201.26,,,,,,
東建コーポレーション,T1766,,,,130.67,,,,,,,,,,,,111.1,,,,,,,,,,,,102.13,,,,,,,,,,,,90.47,,,,,,,,
ソネック,T1768,,,75.57,,,,,,,,,,,,68.14,,,,,,,,,,,,48.57,,,,,,,,,,,,38.51,,,,,,,,,
藤田エンジニアリング,T1770,,,88.78,,,,,,,,,,,,90.16,,,,,,,,,,,,78.22,,,,,,,,,,,,77.42,,,,,,,,,
日本乾溜工業,T1771,,,,,,,,,58.23,,,,,,,,,,,,67.1,,,,,,,,,,,,60.39,,,,,,,,,,,,59.78,,,
三井住建道路,T1776,,,144.03,,,,,,,,,,,,131.16,,,,,,,,,,,,119.86,,,,,,,,,,,,106.6,,,,,,,,,
川崎設備工業,T1777,,,128.16,,,,,,,,,,,,82.92,,,,,,,,,,,,71.9,,,,,,,,,,,,82.41,,,,,,,,,
ヤマウラ,T1780,,,63.29,,,,,,,,,,,,34.62,,,,,,,,,,,,34.13,,,,,,,,,,,,40,,,,,,,,,
オリエンタル白石,T1786,,,64.27,,,,,,,,,,,,61.61,,,,,,,,,,,,65.08,,,,,,,,,,,,53.19,,,,,,,,,
ナカボーテック,T1787,,,50.67,,,,,,,,,,,,48.48,,,,,,,,,,,,50.96,,,,,,,,,,,,42.11,,,,,,,,,
三東工業社,T1788,,,,,,51.04,,,,,,,,,,,,58.6,,,,,,,,,,,,82.62,,,,,,,,,,,,68.3,,,,,,
大本組,T1793,,,47.56,,,,,,,,,,,,42.57,,,,,,,,,,,,37.79,,,,,,,,,,,,35.82,,,,,,,,,
マサル,T1795,,,,,,,,,121.51,,,,,,,,,,,,75.3,,,,,,,,,,,,64.78,,,,,,,,,,,,47.45,,,
守谷商会,T1798,,,184.62,,,,,,,,,,,,193.11,,,,,,,,,,,,155.74,,,,,,,,,,,,132.48,,,,,,,,,
第一建設工業,T1799,,,15.56,,,,,,,,,,,,14.55,,,,,,,,,,,,18.75,,,,,,,,,,,,11.76,,,,,,,,,
大成建設,T1801,,,168.17,,,,,,,,,,,,173.25,,,,,,,,,,,,145.77,,,,,,,,,,,,150.35,,,,,,,,,
大林組,T1802,,,166.92,,,,,,,,,,,,159.8,,,,,,,,,,,,135.12,,,,,,,,,,,,149,,,,,,,,,
清水建設,T1803,,,154.41,,,,,,,,,,,,158.72,,,,,,,,,,,,134.27,,,,,,,,,,,,150.21,,,,,,,,,
佐藤渡辺,T1807,,,108.48,,,,,,,,,,,,99.54,,,,,,,,,,,,85.73,,,,,,,,,,,,74.09,,,,,,,,,
長谷工コーポレーション,T1808,,,97.65,,,,,,,,,,,,95.15,,,,,,,,,,,,134.43,,,,,,,,,,,,149.24,,,,,,,,,
松井建設,T1810,,,83.04,,,,,,,,,,,,73.99,,,,,,,,,,,,75.82,,,,,,,,,,,,60.3,,,,,,,,,
銭高組,T1811,,,137.54,,,,,,,,,,,,156.3,,,,,,,,,,,,107.98,,,,,,,,,,,,111.47,,,,,,,,,
鹿島,T1812,,,183.63,,,,,,,,,,,,182.97,,,,,,,,,,,,144.18,,,,,,,,,,,,150.27,,,,,,,,,
不動テトラ,T1813,,,105.28,,,,,,,,,,,,91.65,,,,,,,,,,,,81.59,,,,,,,,,,,,70.3,,,,,,,,,
大末建設,T1814,,,168.4,,,,,,,,,,,,136.76,,,,,,,,,,,,114.84,,,,,,,,,,,,140.09,,,,,,,,,
鉄建建設,T1815,,,209.58,,,,,,,,,,,,236.3,,,,,,,,,,,,194.29,,,,,,,,,,,,166.75,,,,,,,,,
西松建設,T1820,,,134.5,,,,,,,,,,,,149.56,,,,,,,,,,,,128.42,,,,,,,,,,,,212.56,,,,,,,,,
三井住友建設,T1821,,,271.47,,,,,,,,,,,,265.97,,,,,,,,,,,,257.04,,,,,,,,,,,,347.34,,,,,,,,,
大豊建設,T1822,,,134.22,,,,,,,,,,,,136.69,,,,,,,,,,,,134.77,,,,,,,,,,,,120.46,,,,,,,,,
佐田建設,T1826,,,88.59,,,,,,,,,,,,106.12,,,,,,,,,,,,78.23,,,,,,,,,,,,78.86,,,,,,,,,
ナカノフドー建設,T1827,,,188.84,,,,,,,,,,,,148.21,,,,,,,,,,,,133.26,,,,,,,,,,,,123.28,,,,,,,,,
田辺工業,T1828,,,97.59,,,,,,,,,,,,83.35,,,,,,,,,,,,81.77,,,,,,,,,,,,79.66,,,,,,,,,
北海電工,T1832,,,71.4,,,,,,,,,,,,64.59,,,,,,,,,,,,58.98,,,,,,,,,,,,60.48,,,,,,,,,
奥村組,T1833,,,77.1,,,,,,,,,,,,84.55,,,,,,,,,,,,86.22,,,,,,,,,,,,87.05,,,,,,,,,
