,code,îNî≈,åéïΩãœécã∆éûä‘,óLãxéÊìæó¶/ëOä˙,ä«óùêEÅEèóê´î‰ó¶,ïΩãœîNóÓçáåv/ëOä˙,fusaiRate,ÉÅÉìÉ^ÉãÉwÉãÉXãxêEé“ó¶,ïΩãœîNä‘ããó^/ëOä˙ÅiëŒêîÅj,è]ã∆àıêîçáåv/ëOä˙ÅiëŒêîÅj,é©å»ìsçáó£êEó¶
78,2533,2019,6.7,78.4,4.1,42.4,103.66,0.0053475935828877,6.736506854834721,2.7489628612561616,0.018083182640144666
79,2533,2020,6.4,83.5,4.1,43.0,106.82,0.00528169014084507,6.7501202877483,2.754348335711019,0.0106951871657754
80,2533,2021,6.6,80.1,5.0,43.3,109.08,0.005494505494505495,6.742641484258277,2.7371926427047373,0.02112676056338028
81,4041,2018,11.6,71.4,2.3,43.7,43.89,0.0,6.8500226455621815,3.110589710299249,0.007036747458952306
82,4041,2019,10.5,77.8,3.6,44.0,45.2,0.006987577639751553,6.834552752365765,3.1099158630237933,0.003875968992248062
83,4041,2020,9.0,77.2,3.7,43.7,53.31,0.004576659038901602,6.820060044372784,3.117602691690084,0.015527950310559006
84,4041,2021,7.6,77.8,3.8,44.1,56.78,0.002284843869002285,6.825954479980968,3.118264726089479,0.008390541571319604
85,5101,2018,24.4,54.4,0.7,38.1,133.18,0.009347577260587561,6.7886632131208575,3.719497016610582,0.012920387611628349
86,5101,2019,25.0,55.2,0.7,39.0,108.32,0.008007626310772164,6.784189205380961,3.7197454925295768,0.01411674933231591
87,5101,2020,28.8,52.6,0.5,39.0,91.23,0.00968390279554175,6.796296740051791,3.7382254481425052,0.020400381315538608
88,5101,2021,27.5,62.5,0.7,39.1,82.03,0.009561609236875337,6.79539333493129,3.7437448785924614,0.01498264206102686
89,1941,2018,33.4,44.0,0.4,40.1,20.95,0.0023154848046309695,6.839082602850218,3.5384480517102173,0.01447178002894356
90,1941,2019,31.2,43.6,0.9,40.1,23.4,0.0035149384885764497,6.8408737152406855,3.5332635167787148,0.016208393632416787
91,1941,2020,31.5,50.5,1.7,39.9,22.14,0.0029265437518290896,6.846738370706742,3.5336449787987627,0.012888107791446984
92,1941,2021,32.2,54.3,2.1,39.8,23.13,0.005031074282332051,6.850458878481422,3.5287881917748964,0.013462101258413814
93,1969,2018,40.9,44.6,1.0,42.5,120.06,0.002564102564102564,6.914554698517634,3.290034611362518,0.026525198938992044
94,1969,2019,41.3,45.7,1.2,42.3,107.27,0.0024691358024691358,6.935608018517869,3.3064250275506875,0.030256410256410255
95,1969,2020,43.7,52.3,1.3,42.1,96.92,0.006338371526084837,6.928293412232202,3.3119656603683665,0.024691358024691357
96,1969,2021,49.3,62.7,1.3,42.0,107.17,0.008236434108527133,6.9439394644722165,3.314709692955174,0.024865919063871283
97,1812,2019,37.9,49.6,1.4,44.1,182.97,0.00234192037470726,7.042488566093136,3.88570038012833,0.009985547234266194
98,1812,2020,38.8,46.4,2.2,44.2,144.18,0.0015418219195682899,7.056463284689008,3.891147030448771,0.007936507936507936
99,1812,2021,40.7,45.0,2.5,44.2,150.27,0.0015214910612400153,7.054669424926347,3.896911840826025,0.002441218039316459
100,2573,2018,31.2,40.5,4.8,40.7,23.85,0.0,6.762228284286475,2.6464037262230695,0.015625
101,2573,2019,29.2,42.0,6.1,41.1,23.38,0.002325581395348837,6.75876054390998,2.6334684555795866,0.01580135440180587
102,2573,2020,28.5,68.4,6.0,42.4,19.92,0.004672897196261682,6.764250875438774,2.6314437690131722,0.018604651162790697
103,2573,2021,26.1,75.0,7.5,41.3,22.08,0.0024330900243309003,6.763502865467597,2.6138418218760693,0.028037383177570093
104,6988,2018,17.7,68.5,4.6,39.3,42.35,0.008907823392718823,6.848189116991398,3.712986233594383,0.006873527101335428
105,5491,2018,12.8,35.7,0.7,42.4,189.67,0.0,6.800981560035491,2.6910814921229687,0.012244897959183673
106,5491,2019,13.2,36.1,0.7,41.9,206.23,0.007326007326007326,6.7915840618998855,2.7371926427047373,0.026476578411405296
107,5491,2020,12.4,40.1,1.4,41.1,223.46,0.0034965034965034965,6.816422141014164,2.7573960287930244,0.018315018315018316
108,5491,2021,11.7,59.1,1.9,40.4,228.57,0.010273972602739725,6.800898935374558,2.7664128471123997,0.012237762237762238
109,5195,2018,24.0,59.8,4.0,42.0,69.06,0.018794048551292093,6.819266951600049,3.1061908972634154,0.00382262996941896
110,5195,2019,24.3,61.7,4.9,42.0,88.87,0.01018808777429467,6.827592502494175,3.1058506743851435,0.01957713390759593
111,5195,2020,23.0,62.7,4.2,42.0,77.86,0.014901960784313726,6.833699417837285,3.1055101847699738,0.014106583072100314
112,5195,2021,20.0,60.4,4.4,42.1,92.01,0.018081761006289308,6.817661141754586,3.104487111312395,0.012549019607843137
113,1980,2018,23.3,19.6,0.9,43.3,81.53,0.0007062146892655367,6.968723938465564,3.15106325335375,0.024805102763997167
114,1980,2019,26.8,21.9,0.8,42.5,82.17,0.0,6.954505853311797,3.160168292958512,0.0211864406779661
115,1980,2020,23.1,26.7,1.0,42.6,77.31,0.0,6.978463971674389,3.17260293120986,0.017980636237897647
116,1980,2021,22.7,42.2,0.9,42.7,80.46,0.0046449900464499,6.966003252887516,3.1781132523146316,0.018145161290322582
117,5393,2018,14.9,49.9,1.3,41.8,86.43,0.005717916137229987,6.84168838339187,3.1970047280230456,0.013522215067611075
