,証券コード,環境(5),企業統治(5),社会性(5),30歳平均賃金,月平均残業時間,有休取得率/前期,従業員の能力・評価結果の公開,勤続年数合計/前期,3年以内離職率
513,6406.0,3.0,3.0,3.0,260000.0,24.8,63.5,2.0,18.1,0.21153846153846154
514,6420.0,3.0,3.0,3.0,293500.0,23.2,47.3,1.0,11.0,0.30434782608695654
518,6268.0,5.0,5.0,4.0,355033.0,18.6,75.3,1.0,16.9,0.07042253521126761
519,6369.0,3.0,3.0,3.0,260000.0,20.3,68.0,1.0,15.5,0.1875
525,6013.0,3.0,4.0,3.0,286183.0,20.5,45.5,1.0,15.3,0.0
526,6383.0,5.0,5.0,5.0,261035.0,18.5,71.2,1.0,16.0,0.13095238095238096
528,6367.0,5.0,5.0,5.0,332400.0,16.1,91.5,1.0,15.7,0.07692307692307693
529,6143.0,3.0,2.0,3.0,265000.0,20.5,58.7,1.0,14.0,0.03333333333333333
530,6460.0,3.0,4.0,4.0,267972.0,23.1,49.8,1.0,3.7,0.07751937984496124
531,7718.0,3.0,4.0,4.0,313267.0,4.5,75.9,1.0,18.8,0.25
532,6473.0,5.0,5.0,5.0,318093.0,12.2,71.5,3.0,16.0,0.09868421052631579
533,6444.0,5.0,4.0,5.0,269636.0,11.4,63.2,1.0,17.1,0.1111111111111111
534,6287.0,4.0,4.0,4.0,338492.0,14.8,52.9,1.0,12.7,0.20512820512820512
535,6301.0,5.0,5.0,5.0,303073.0,16.2,99.0,1.0,15.3,0.03559870550161812
536,6457.0,4.0,4.0,4.0,244947.0,16.3,65.6,1.0,20.3,0.0989010989010989
537,6326.0,5.0,5.0,5.0,306000.0,22.8,108.0,1.0,15.1,0.11952191235059761
538,6409.0,4.0,3.0,4.0,248196.0,4.2,81.2,1.0,17.4,0.21428571428571427
539,6498.0,3.0,4.0,4.0,268992.0,13.0,63.2,1.0,14.7,0.0392156862745098
