,証券コード,環境(5),企業統治(5),社会性(5),30歳平均賃金,月平均残業時間,有休取得率/前期,従業員の能力・評価結果の公開,勤続年数合計/前期,3年前4月1日入社・合計(入社者定着状況),うち直近4月1日在籍者・合計(入社者定着状況)
532,6473.0,5.0,5.0,5.0,318093.0,12.2,71.5,3.0,16.0,304.0,274.0
533,6444.0,5.0,4.0,5.0,269636.0,11.4,63.2,1.0,17.1,36.0,32.0
534,6287.0,4.0,4.0,4.0,338492.0,14.8,52.9,1.0,12.7,39.0,31.0
535,6301.0,5.0,5.0,5.0,303073.0,16.2,99.0,1.0,15.3,309.0,298.0
536,6457.0,4.0,4.0,4.0,244947.0,16.3,65.6,1.0,20.3,91.0,82.0
537,6326.0,5.0,5.0,5.0,306000.0,22.8,108.0,1.0,15.1,251.0,221.0
538,6409.0,4.0,3.0,4.0,248196.0,4.2,81.2,1.0,17.4,14.0,11.0
539,6498.0,3.0,4.0,4.0,268992.0,13.0,63.2,1.0,14.7,51.0,49.0
540,6368.0,3.0,3.0,3.0,295968.0,28.2,51.9,1.0,16.0,29.0,28.0
544,6113.0,5.0,4.0,4.0,275694.0,1.4,52.5,1.0,17.6,55.0,45.0
547,6466.0,2.0,3.0,3.0,281899.0,7.7,59.7,1.0,15.3,4.0,4.0
548,6463.0,3.0,3.0,3.0,247900.0,5.6,56.8,1.0,19.9,17.0,17.0
549,6481.0,4.0,4.0,5.0,274894.0,14.5,53.1,3.0,17.6,156.0,143.0
553,6472.0,5.0,4.0,5.0,273100.0,3.4,86.7,1.0,19.5,120.0,112.0
557,6134.0,3.0,3.0,3.0,298575.0,11.1,77.7,3.0,17.9,29.0,26.0
558,6141.0,4.0,4.0,4.0,313028.0,8.7,127.6,1.0,15.6,97.0,86.0
559,6407.0,4.0,4.0,4.0,280869.0,19.2,63.6,1.0,15.9,121.0,107.0
561,6901.0,4.0,4.0,3.0,270461.0,13.3,73.0,1.0,17.8,19.0,17.0
562,6508.0,4.0,4.0,4.0,263964.0,23.6,64.0,1.0,18.9,97.0,87.0
564,6856.0,4.0,3.0,4.0,262540.0,12.3,56.1,1.0,13.6,70.0,59.0
566,6504.0,5.0,5.0,5.0,290120.0,18.4,72.1,1.0,20.6,292.0,266.0
568,6965.0,5.0,4.0,4.0,292361.0,12.2,72.8,2.0,16.1,106.0,104.0
570,6779.0,4.0,4.0,3.0,303036.0,15.3,51.3,2.0,16.5,31.0,26.0
571,6951.0,3.0,3.0,3.0,306502.0,14.6,58.1,1.0,17.8,29.0,21.0
573,6807.0,4.0,4.0,4.0,296500.0,12.3,70.1,2.0,17.5,55.0,50.0
574,6849.0,4.0,4.0,4.0,333731.0,15.2,43.3,1.0,14.6,69.0,65.0
579,6930.0,4.0,3.0,3.0,291976.0,19.0,71.4,1.0,16.2,4.0,3.0
580,6958.0,4.0,4.0,3.0,364270.0,21.4,52.9,1.0,16.2,40.0,34.0
581,6651.0,4.0,3.0,3.0,255774.0,18.8,70.6,1.0,16.1,55.0,47.0
582,3105.0,5.0,5.0,4.0,319850.0,4.2,67.6,1.0,20.0,33.0,28.0
583,6641.0,5.0,5.0,5.0,277118.0,23.0,64.7,1.0,18.2,46.0,41.0
586,6588.0,5.0,4.0,5.0,296164.0,18.9,60.6,1.0,18.4,95.0,84.0
588,8035.0,5.0,5.0,5.0,343643.0,34.9,62.5,1.0,17.6,182.0,171.0
590,6706.0,3.0,3.0,3.0,256278.0,22.6,53.8,1.0,15.7,12.0,11.0
593,6976.0,4.0,4.0,4.0,297376.0,16.3,64.5,3.0,18.8,72.0,65.0
595,6981.0,5.0,5.0,5.0,308308.0,15.3,67.1,1.0,14.7,332.0,323.0
598,6844.0,5.0,5.0,5.0,291163.0,6.5,54.5,1.0,17.6,20.0,18.0
599,6967.0,4.0,3.0,3.0,309250.0,14.1,62.6,1.0,21.6,105.0,99.0
601,7276.0,4.0,4.0,3.0,265840.0,9.8,75.0,2.0,19.1,132.0,123.0
602,6637.0,3.0,3.0,3.0,292799.0,11.4,74.5,1.0,18.7,22.0,17.0
604,6503.0,5.0,4.0,5.0,322500.0,23.5,70.5,1.0,16.6,1112.0,1032.0
607,6643.0,3.0,3.0,3.0,274978.0,9.4,43.1,2.0,15.1,11.0,11.0
608,6814.0,3.0,3.0,4.0,280691.0,13.6,72.1,1.0,14.8,41.0,38.0
617,6506.0,4.0,4.0,4.0,296928.0,16.0,75.6,1.0,18.7,69.0,65.0
619,6963.0,5.0,5.0,5.0,406807.0,17.1,62.0,1.0,14.7,145.0,119.0
623,6479.0,5.0,5.0,5.0,257388.0,2.9,65.6,1.0,16.3,130.0,116.0
624,6592.0,4.0,4.0,4.0,288067.0,7.5,73.1,1.0,18.0,28.0,24.0
625,6810.0,5.0,4.0,5.0,321539.0,13.8,68.8,1.0,19.2,23.0,21.0
626,6745.0,3.0,3.0,3.0,261673.0,21.8,68.8,1.0,14.1,47.0,41.0
628,6448.0,5.0,4.0,4.0,345000.0,18.0,73.3,1.0,15.5,76.0,75.0
629,6794.0,4.0,4.0,5.0,278042.0,9.6,50.0,1.0,16.0,9.0,7.0
631,6954.0,3.0,4.0,3.0,369260.0,36.3,86.0,2.0,14.2,252.0,245.0
632,6806.0,4.0,3.0,3.0,316800.0,15.6,56.4,2.0,12.4,44.0,42.0
635,6996.0,5.0,3.0,4.0,336800.0,8.4,70.9,1.0,10.1,63.0,53.0
636,6715.0,3.0,3.0,3.0,215117.0,16.8,74.4,2.0,18.1,14.0,8.0
637,6616.0,3.0,3.0,3.0,265000.0,21.0,60.0,1.0,11.4,6.0,5.0
639,6850.0,4.0,4.0,3.0,259466.0,9.0,55.8,1.0,15.3,22.0,19.0
640,6768.0,5.0,5.0,5.0,271100.0,8.9,62.5,1.0,17.0,28.0,21.0
642,6622.0,4.0,3.0,4.0,290431.0,18.8,49.9,1.0,16.8,36.0,34.0
644,6724.0,5.0,5.0,5.0,303030.0,13.1,82.4,1.0,19.1,365.0,339.0
645,6817.0,3.0,3.0,3.0,398420.0,2.5,71.3,1.0,13.6,6.0,6.0
647,6740.0,4.0,4.0,4.0,264650.0,14.2,60.8,1.0,19.9,28.0,22.0
649,6869.0,4.0,5.0,5.0,269379.0,21.9,58.1,1.0,12.5,58.0,56.0
652,6707.0,5.0,3.0,5.0,293280.0,8.4,52.9,1.0,19.3,22.0,16.0
653,6639.0,4.0,4.0,5.0,266000.0,16.2,70.3,1.0,20.1,11.0,9.0
