,証券コード,環境(5),企業統治(5),社会性(5),30歳平均賃金,月平均残業時間,有休取得率/前期,従業員の能力・評価結果の公開,勤続年数合計/前期,3年以内離職率,資産合計,自己資本,純利益,ROA,ROE
154,4410.0,4.0,3.0,3.0,333416.0,11.7,66.0,1.0,15.8,0.25,36450.0,24749.0,-81.0,-0.2222222222222222,-0.32728595094751306
155,4925.0,2.0,3.0,3.0,271905.0,2.5,79.5,2.0,7.7,1.0,10273.0,7269.0,-299.0,-2.9105421979947437,-4.113358096024212
156,7988.0,4.0,3.0,4.0,261421.0,24.6,67.1,1.0,15.0,0.1372549019607843,191152.0,115575.0,16629.0,8.699359671884155,14.388059701492537
157,4043.0,5.0,5.0,4.0,344067.0,10.3,75.2,1.0,17.9,0.0714285714285714,354316.0,168828.0,22614.0,6.382438275437745,13.394697562015779
158,4061.0,5.0,4.0,5.0,301209.0,11.1,69.2,1.0,16.5,0.1262135922330097,465179.0,225792.0,15953.0,3.4294325410218427,7.065352182539683
159,4980.0,4.0,5.0,4.0,283214.0,23.3,60.0,1.0,17.0,0.175,111751.0,53497.0,14579.0,13.045968268740324,27.25199543899658
160,4202.0,5.0,5.0,5.0,294600.0,19.3,72.1,1.0,16.5,0.0416666666666666,624190.0,280442.0,28431.0,4.554863102580945,10.137925132469459
161,4633.0,4.0,4.0,3.0,295800.0,11.8,51.9,1.0,18.3,0.1904761904761904,97196.0,58517.0,3382.0,3.4795670603728546,5.779517063417469
162,4922.0,4.0,4.0,5.0,378456.0,13.9,57.2,1.0,16.8,0.0821917808219178,186374.0,152610.0,14656.0,7.863757820296822,9.603564641897648
163,4118.0,5.0,5.0,5.0,286947.0,14.8,66.6,1.0,17.5,0.1984732824427481,490722.0,272728.0,28347.0,5.776590411679117,10.393872283007246
164,7947.0,5.0,5.0,4.0,354186.0,7.9,49.3,1.0,13.6,0.0465116279069767,238616.0,108133.0,13236.0,5.546987628658598,12.240481629104899
165,4088.0,4.0,4.0,3.0,348812.0,14.2,57.0,1.0,13.1,0.0714285714285714,529393.0,208902.0,12950.0,2.446197815233673,6.199078993978038
166,4929.0,3.0,3.0,2.0,290000.0,12.1,54.0,1.0,7.6,0.5,4875.0,4291.0,348.0,7.138461538461538,8.109997669540899
167,4206.0,4.0,5.0,5.0,272294.0,7.0,55.9,1.0,16.1,0.1851851851851851,159860.0,125203.0,11949.0,7.474665332165645,9.543701029528046
168,4985.0,5.0,5.0,5.0,269825.0,10.0,70.4,1.0,14.8,0.0769230769230769,103097.0,61077.0,6309.0,6.119479713279727,10.32958396777838
169,7908.0,3.0,3.0,4.0,237000.0,12.2,84.0,1.0,21.6,0.5,23530.0,18547.0,764.0,3.246918827029324,4.119264571089664
170,4189.0,4.0,4.0,4.0,315833.0,18.8,78.8,1.0,15.9,0.05,115796.0,51298.0,13190.0,11.390721613872673,25.71250341143904
171,4975.0,4.0,4.0,3.0,333000.0,7.6,80.2,1.0,14.5,0.2857142857142857,29560.0,24802.0,6045.0,20.449932341001354,24.373034432707037
172,4631.0,4.0,4.0,4.0,315666.0,9.6,63.1,1.0,19.0,0.0634920634920634,829904.0,319291.0,29811.0,3.5921022190518426,9.336623957455737
173,4401.0,4.0,4.0,4.0,293820.0,12.8,69.7,1.0,15.6,0.0879120879120879,260648.0,181670.0,16626.0,6.378717657530462,9.151758683326912
174,4554.0,3.0,3.0,3.0,274131.0,7.5,64.9,1.0,11.7,0.1176470588235294,71263.0,34508.0,2480.0,3.4800667948304174,7.186739306827403
175,4539.0,3.0,3.0,3.0,308727.0,2.9,43.1,1.0,13.7,0.2962962962962963,35103.0,10977.0,249.0,0.709341081958807,2.2683793386171085
176,4519.0,5.0,5.0,5.0,306087.0,18.2,59.4,1.0,16.9,0.0344827586206896,1394918.0,1066062.0,294713.0,21.127621838703064,27.645015017888262
177,4568.0,5.0,5.0,5.0,355617.0,10.1,77.1,1.0,19.6,0.0378787878787878,1638011.0,929444.0,39273.0,2.3976029465003594,4.225429396499412
