東洋経済コード,負債比率,年版
4346,258.99,2017
4351,224.5,2017
5843,0,2017
7164,217.95,2017
7183,29.59,2017
7187,1160.38,2017
7191,284.66,2017
7192,833.03,2017
7196,146.19,2017
7198,217.62,2017
7199,227.74,2017
7320,0,2017
7345,0,2017
7383,0,2017
8253,586.87,2017
8424,819.2,2017
8425,1069.02,2017
8439,841.13,2017
8508,7.79,2017
8511,1866.35,2017
8515,420.59,2017
8566,507.87,2017
8570,0,2017
8572,223.48,2017
8584,2525.22,2017
8585,1866.25,2017
8591,311.42,2017
8593,778.83,2017
8594,1509.66,2017
8596,477.43,2017
8697,108.95,2017
8771,57.27,2017
8772,145.33,2017
8783,20.86,2017
8789,16.65,2017
8793,875.29,2017
1435,78.98,2017
146A,0,2017
1783,3.4,2017
1878,282.7,2017
2337,83.58,2017
2353,148.51,2017
2970,165.2,2017
2974,0,2017
2975,0,2017
2976,0,2017
2978,0,2017
2980,0,2017
2981,0,2017
2982,0,2017
2983,0,2017
2984,0,2017
2985,0,2017
2986,0,2017
2990,0,2017
2991,0,2017
2992,0,2017
2993,0,2017
2994,0,2017
2995,0,2017
2997,0,2017
2998,0,2017
2999,0,2017
3003,250.04,2017
3231,273.97,2017
3232,21.72,2017
3236,614.19,2017
3237,103.16,2017
3238,563.47,2017
3241,131.52,2017
3242,221.84,2017
3245,160.05,2017
3246,373.13,2017
3248,236.21,2017
3252,377.46,2017
3260,982.72,2017
3261,22.08,2017
3266,37.02,2017
3271,64,2017
3276,166.87,2017
3277,51.92,2017
3280,248.87,2017
3284,16.78,2017
3286,273.69,2017
3288,172.17,2017
3289,361.66,2017
3291,8.68,2017
3293,108.13,2017
3294,182.88,2017
3297,59.1,2017
3299,276.82,2017
3300,339.52,2017
3452,485.58,2017
3454,17.92,2017
3457,529.52,2017
3461,78.17,2017
3465,218.1,2017
3467,250.77,2017
3469,431.28,2017
3474,114.94,2017
3475,220.31,2017
3477,94.25,2017
3479,479.58,2017
3480,277.79,2017
3482,540.07,2017
3483,1191.38,2017
3484,417.93,2017
3486,544.77,2017
3489,773.23,2017
3490,852.41,2017
3491,5050,2017
3494,787.02,2017
3495,341.21,2017
3496,0,2017
3498,694.36,2017
3772,43.91,2017
4666,84.28,2017
4809,145.77,2017
4827,522.59,2017
5280,86.21,2017
5525,0,2017
5527,0,2017
5528,0,2017
5530,0,2017
5531,0,2017
5532,0,2017
5533,0,2017
5534,0,2017
5536,0,2017
5537,0,2017
6620,191.51,2017
6625,0.26,2017
8801,161.52,2017
8802,247.95,2017
8803,218.19,2017
8804,231.44,2017
8818,104.73,2017
8830,399.02,2017
8836,16.82,2017
8841,65.45,2017
8844,386.99,2017
8848,115.74,2017
8850,249.62,2017
8860,257.29,2017
8864,54.39,2017
8869,223.73,2017
8871,71.2,2017
8877,83.65,2017
8881,93.27,2017
8887,59.41,2017
8891,156.66,2017
8892,324.15,2017
8894,158.26,2017
8897,286.43,2017
8898,20.64,2017
8904,49.57,2017
8908,129.55,2017
8912,31.39,2017
8914,55.67,2017
8917,62.98,2017
8918,0,2017
8919,234.96,2017
8921,0,2017
8923,196.9,2017
8927,177.11,2017
8928,240.51,2017
8929,151.21,2017
8931,303.2,2017
8934,77.93,2017
8935,49.48,2017
8938,214.25,2017
8940,284.37,2017
8944,183.56,2017
8945,47.86,2017
8946,82.37,2017
8995,39.47,2017
8996,232.88,2017
8999,73.26,2017
9706,102.39,2017
9816,47.97,2017
9820,17.14,2017
134A,0,2017
1717,77.15,2017
2120,35.92,2017
2121,33.12,2017
2122,119.08,2017
2124,32.38,2017
2127,20.43,2017
2130,69.93,2017
2134,50.34,2017
2136,104.01,2017
2137,141.7,2017
2139,115.94,2017
2146,316.02,2017
2148,17.04,2017
2150,32.72,2017
2152,64.75,2017
2153,2.54,2017
2154,103.39,2017
2156,140.64,2017
2157,204.82,2017
2158,136.48,2017
2162,613.65,2017
2163,54.83,2017
2164,173.32,2017
2168,194.32,2017
2169,13.25,2017
2170,220.92,2017
2172,46.58,2017
2173,229.91,2017
2175,231.68,2017
2179,211.37,2017
2180,108.77,2017
2181,44.3,2017
2183,92.73,2017
2185,18.16,2017
2186,28.75,2017
2193,13.64,2017
2195,375.1,2017
2196,285.51,2017
2198,82.62,2017
2300,36.95,2017
2301,11.13,2017
2304,177.91,2017
2305,55.5,2017
2311,18.47,2017
2325,22.39,2017
2331,62.93,2017
2334,247.16,2017
2340,235.62,2017
2341,11.52,2017
2342,15.72,2017
2344,49.87,2017
2370,28.91,2017
2371,19.19,2017
2373,553.37,2017
2374,79.73,2017
2375,117.25,2017
2376,71.15,2017
2378,288.44,2017
2379,48.56,2017
2385,0.82,2017
2389,87.55,2017
2391,22.53,2017
2393,45.17,2017
2395,152.05,2017
2404,370.63,2017
2408,17.28,2017
2410,50.04,2017
2413,38.46,2017
2415,277.69,2017
2418,164.21,2017
2424,181.88,2017
2425,133.55,2017
2428,149.41,2017
2429,465.37,2017
2432,18.99,2017
2433,33.23,2017
2435,1463.73,2017
2436,156.29,2017
2437,54.18,2017
2438,15.06,2017
2440,35.7,2017
2445,333.68,2017
2449,28.19,2017
2454,10.26,2017
2459,37.89,2017
2461,38.02,2017
2462,90.42,2017
2464,35.21,2017
2467,3.11,2017
2469,186.75,2017
2471,175.75,2017
2475,7.39,2017
2479,76.55,2017
2481,16.52,2017
2483,37.09,2017
2485,81.06,2017
2488,58.42,2017
2489,51.66,2017
2491,63.78,2017
2492,15.35,2017
2493,41.17,2017
2497,22.2,2017
2498,101.37,2017
2499,28.64,2017
2749,361.77,2017
3010,211.13,2017
3021,56.77,2017
3121,71.48,2017
3326,136.42,2017
3521,68.25,2017
4286,37.52,2017
4290,91.13,2017
4293,10.65,2017
4301,48.07,2017
4310,6.52,2017
4317,143.17,2017
4318,45.72,2017
4319,465.14,2017
4324,95.22,2017
4331,109.5,2017
4337,343.85,2017
4341,105.59,2017
4343,29.7,2017
4345,147.36,2017
4347,244.24,2017
4544,55.28,2017
4641,48.22,2017
4642,30.53,2017
4645,237.7,2017
4650,324.09,2017
4651,3185.75,2017
4657,220.49,2017
4658,98.42,2017
4659,35.74,2017
4661,31.14,2017
4664,198.35,2017
4665,39.48,2017
4668,14.61,2017
4671,36.45,2017
4673,137.18,2017
4678,235.32,2017
4679,144.88,2017
4680,94.89,2017
4681,285.36,2017
4690,164.23,2017
4691,0,2017
4694,57.17,2017
4705,10.21,2017
4707,150.54,2017
4712,70.87,2017
4714,63.91,2017
4718,80.77,2017
4720,42.53,2017
4732,19.44,2017
4735,199.86,2017
4745,27.46,2017
4750,30.01,2017
4751,60.63,2017
4754,37.77,2017
4755,88.76,2017
4760,100.95,2017
4763,65.54,2017
4765,5.71,2017
4766,79.2,2017
4767,46.75,2017
4771,26.59,2017
4784,28.63,2017
4792,0.82,2017
4801,126.99,2017
4833,418.56,2017
4834,145.69,2017
4840,11.54,2017
4848,29.32,2017
4849,27.13,2017
5261,235.52,2017
5866,0,2017
5867,0,2017
5868,0,2017
5871,0,2017
6025,419.34,2017
6027,24.29,2017
6028,143.35,2017
6029,89.11,2017
6030,111.73,2017
6031,10.38,2017
6033,44.73,2017
6034,27.41,2017
6035,10.3,2017
6036,40.68,2017
6037,13.88,2017
6038,12.81,2017
6039,330.18,2017
6040,12.72,2017
6044,112.89,2017
6045,62.33,2017
6046,42.15,2017
6047,11.95,2017
6049,26.86,2017
6050,33.31,2017
6054,22.49,2017
6055,40.44,2017
6058,24.99,2017
6059,4.91,2017
6060,58.1,2017
6061,28.9,2017
6062,598.96,2017
6063,257.47,2017
6069,13.44,2017
6070,111.4,2017
6071,124.66,2017
6072,2.8,2017
6073,35.39,2017
6074,168.5,2017
6076,284.1,2017
6078,153.33,2017
6080,32.11,2017
6081,93.13,2017
6082,77.65,2017
6083,3.24,2017
6085,22.79,2017
6086,101.07,2017
6087,31.16,2017
6088,26.87,2017
6089,58.65,2017
6090,8.07,2017
